[ 2025-01-04 04:43:18,711 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-01-04 04:43:19,255 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-01-04 04:43:19,786 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-04 04:43:19,792 ] 107 dagshub - INFO - Accessing as Arrnv
[ 2025-01-04 04:43:20,315 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Arrnv/NetworkSecurity "HTTP/1.1 200 OK"
[ 2025-01-04 04:43:20,841 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-04 04:43:20,845 ] 107 dagshub - INFO - Initialized MLflow to track repo "Arrnv/NetworkSecurity"
[ 2025-01-04 04:43:20,846 ] 107 dagshub - INFO - Repository Arrnv/NetworkSecurity initialized!
[ 2025-01-04 04:43:22,023 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-04 04:43:27,121 ] 58 root - INFO - performing the train test split on the dataframe
[ 2025-01-04 04:43:27,122 ] 61 root - INFO - Exporting train test file path
[ 2025-01-04 04:43:27,157 ] 64 root - INFO - Exporting the train test files
[ 2025-01-04 04:43:27,157 ] 18 root - INFO - Data Initiation Completed
[ 2025-01-04 04:43:27,162 ] 22 root - INFO - Initiate the data Validation
[ 2025-01-04 04:43:27,179 ] 33 root - INFO - Required number of columns:31
[ 2025-01-04 04:43:27,179 ] 34 root - INFO - Data frame has columns:31
[ 2025-01-04 04:43:27,179 ] 33 root - INFO - Required number of columns:31
[ 2025-01-04 04:43:27,179 ] 34 root - INFO - Data frame has columns:31
[ 2025-01-04 04:43:27,267 ] 24 root - INFO - data Validation Completed
[ 2025-01-04 04:43:27,268 ] 27 root - INFO - data Transformation started
[ 2025-01-04 04:43:27,268 ] 65 root - INFO - Entered data transformation
[ 2025-01-04 04:43:27,268 ] 67 root - INFO - starting data transformation
[ 2025-01-04 04:43:27,282 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-04 04:43:27,282 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-04 04:43:27,292 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-04 04:43:27,295 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-04 04:43:27,295 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-04 04:43:27,298 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-04 04:43:27,299 ] 31 root - INFO - data Transformation completed
[ 2025-01-04 04:43:27,299 ] 32 root - INFO - Model Training stared
[ 2025-01-04 04:43:27,302 ] 143 root - INFO - model (8291,)
