[ 2025-01-03 20:29:29,287 ] 14 root - INFO - Initiate the data ingestion
[ 2025-01-03 20:29:35,779 ] 58 root - INFO - performing the train test split on the dataframe
[ 2025-01-03 20:29:35,779 ] 61 root - INFO - Exporting train test file path
[ 2025-01-03 20:29:35,814 ] 64 root - INFO - Exporting the train test files
[ 2025-01-03 20:29:35,814 ] 16 root - INFO - Data Initiation Completed
[ 2025-01-03 20:29:35,818 ] 20 root - INFO - Initiate the data Validation
[ 2025-01-03 20:29:35,829 ] 33 root - INFO - Required number of columns:31
[ 2025-01-03 20:29:35,829 ] 34 root - INFO - Data frame has columns:31
[ 2025-01-03 20:29:35,829 ] 33 root - INFO - Required number of columns:31
[ 2025-01-03 20:29:35,829 ] 34 root - INFO - Data frame has columns:31
[ 2025-01-03 20:29:35,927 ] 22 root - INFO - data Validation Completed
